,gene,label,ST
893,FREM2,IPCs_like_SHHa2,0.00083745504
48,LRIG1,Astrocytes,0.0008363202
2695,POLR2A,OPCs_like_MYC7,0.00083561934
1450,IVNS1ABP,NRPs_like_SHHb3,0.0008348611
2681,PAPOLA,OPCs_like_MYC7,0.00083477446
1915,CDON,OPCs_like_MYC1,0.0008324856
1665,MAP4K4,OLs,0.00082988315
1377,XPR1,NRPs_like_SHHb3,0.000825663
469,PRTG,GRPs_like_TYR1,0.0008211606
629,PAFAH1B1,GRPs_like_TYR3,0.0008179754
2670,PCNP,OPCs_like_MYC7,0.00081740774
951,PTBP2,IPCs_like_SHHa5,0.0008173363
652,TUSC3,GRPs_like_TYR3,0.0008127397
56,CNN3,Astrocytes,0.00080116634
2318,CPE,OPCs_like_MYC5,0.00080116163
1006,EZH2,IPCs_like_SHHa5,0.00080038566
1208,CTSB,Microglia,0.00079947483
1358,ZMYND8,NRPs_like_SHHb3,0.00079578103
2277,PCDH18,OPCs_like_MYC4,0.000793392
2521,ITSN1,OPCs_like_MYC6,0.0007933687
1726,JAM3,OLs,0.0007900879
589,TMEFF1,GRPs_like_TYR2,0.00078553916
2172,BCAT1,OPCs_like_MYC3,0.00078097754
773,GCNT2,IPCs/OPCs_like_SHHa1,0.0007719156
2490,TENM3,OPCs_like_MYC6,0.0007718965
2118,GOLGA8B,OPCs_like_MYC3,0.0007717085
409,MYEF2,GRPs_like_TYR1,0.000769157
2307,LRRN1,OPCs_like_MYC4,0.00076573284
1871,BNIP3,OPCs_like_MYC1,0.00076532544
2315,PCM1,OPCs_like_MYC5,0.0007613525
1827,NCKAP1,OPCs_like_MYC1,0.0007607067
1543,DAG1,NRPs_like_SHHb4,0.0007595257
2445,MPDZ,OPCs_like_MYC6,0.0007585535
1010,SREBF2,IPCs_like_SHHa5,0.00075606053
2604,HSPA9,OPCs_like_MYC7,0.00075321726
866,CCDC14,IPCs_like_SHHa2,0.00075202255
771,SEMA6A,IPCs/OPCs_like_SHHa1,0.00074732746
435,TSC22D1,GRPs_like_TYR1,0.00074270484
2675,CCT4,OPCs_like_MYC7,0.0007387262
836,TFDP2,IPCs_like_SHHa2,0.00073724665
2424,EIF3A,OPCs_like_MYC6,0.000735235
2636,TRA2A,OPCs_like_MYC7,0.00073431607
1286,ABI2,NRPs_like_SHHb2,0.000733933
2427,CLTC,OPCs_like_MYC6,0.0007335068
1409,AFDN,NRPs_like_SHHb3,0.00073042774
1378,SEPTIN9,NRPs_like_SHHb3,0.00073011115
2178,ENAH,OPCs_like_MYC3,0.0007268515
623,PDS5A,GRPs_like_TYR3,0.00072137016
2087,IPO7,OPCs_like_MYC3,0.0007195561
2088,TCF25,OPCs_like_MYC3,0.00071547006
1517,MID1,NRPs_like_SHHb4,0.00071398454
2698,TRIO,Pre_OLs,0.00070686906
31,DPYSL2,Astrocytes,0.00070582505
2462,CHD4,OPCs_like_MYC6,0.0007046583
2761,SLC35F1,Pre_OLs,0.0006999926
2580,CNOT1,OPCs_like_MYC7,0.00069959136
1118,TCF12,Microglia,0.00069728337
1648,TRIM2,OLs,0.00069658685
816,SACS,IPCs_like_SHHa2,0.0006923638
1007,ALDH7A1,IPCs_like_SHHa5,0.00069109007
1846,KDM1A,OPCs_like_MYC1,0.0006902385
1347,DSEL,NRPs_like_SHHb2,0.0006884416
2702,PTPRZ1,Pre_OLs,0.00068835326
564,FARP1,GRPs_like_TYR2,0.00068581186
269,SPTBN1,Fibroblast-like,0.0006851942
1643,PTPN13,OLs,0.00067644357
1492,USP9X,NRPs_like_SHHb4,0.0006734484
1318,RDX,NRPs_like_SHHb2,0.00067294546
613,IGF2BP2,GRPs_like_TYR2,0.00067065266
765,ZNF423,IPCs/OPCs_like_SHHa1,0.00066997757
2387,TPM2,OPCs_like_MYC5,0.0006689628
2467,TNPO1,OPCs_like_MYC6,0.00066633214
649,RBM6,GRPs_like_TYR3,0.0006662712
236,PKD1,Dopaminergic,0.0006659296
1669,PACS2,OLs,0.00066586875
2565,MDM4,OPCs_like_MYC7,0.00066541834
2359,PTPRA,OPCs_like_MYC5,0.0006635351
535,IST1,GRPs_like_TYR2,0.0006620135
868,GLI2,IPCs_like_SHHa2,0.0006609325
2559,SSBP3,OPCs_like_MYC7,0.00065873336
1446,HSPG2,NRPs_like_SHHb3,0.0006563314
1919,ADGRA3,OPCs_like_MYC1,0.00065625703
2181,ZFHX3,OPCs_like_MYC3,0.0006551463
1138,CAPZB,Microglia,0.00065099995
1881,EPB41L2,OPCs_like_MYC1,0.0006470591
775,ABCA5,IPCs/OPCs_like_SHHa1,0.00064690615
794,EP400,IPCs_like_SHHa2,0.00064500485
1569,GASK1B,NRPs_like_SHHb4,0.00064500194
1285,ZMYM2,NRPs_like_SHHb2,0.0006389633
1998,TARBP1,OPCs_like_MYC2,0.00063720834
818,RAB11FIP3,IPCs_like_SHHa2,0.00063718285
398,ARID1B,GRPs_like_TYR1,0.0006363733
639,NXN,GRPs_like_TYR3,0.0006352749
934,NSD3,IPCs_like_SHHa3,0.000633342
1184,SPP1,Microglia,0.00063130766
2412,SNX5,OPCs_like_MYC6,0.0006310279
942,RUNX1T1,IPCs_like_SHHa3,0.0006261572
1680,ARHGAP21,OLs,0.00062319945
694,IDS,Glutamatergic,0.0006178176
778,HDGFL3,IPCs_like_SHHa2,0.00061424985
808,ZNF146,IPCs_like_SHHa2,0.0006140035
1920,LGR4,OPCs_like_MYC1,0.0006118709
768,HIF3A,IPCs/OPCs_like_SHHa1,0.00060741237
1530,SLC39A10,NRPs_like_SHHb4,0.00060737395
1826,TFG,OPCs_like_MYC1,0.0006062905
1967,RIMKLB,OPCs_like_MYC2,0.0006056535
1371,NCOR2,NRPs_like_SHHb3,0.00060355064
1842,EFNA5,OPCs_like_MYC1,0.0006015887
1946,LRPPRC,OPCs_like_MYC2,0.0006015474
579,U2SURP,GRPs_like_TYR2,0.0005988395
130,ZNF532,Dopaminergic,0.00059773936
2606,ANAPC5,OPCs_like_MYC7,0.00059157814
646,ANKRD11,GRPs_like_TYR3,0.0005909699
2438,CUEDC1,OPCs_like_MYC6,0.00059007853
486,GPI,GRPs_like_TYR2,0.0005899557
2266,FLRT2,OPCs_like_MYC4,0.0005891667
2008,PRRX1,OPCs_like_MYC2,0.00058906444
1899,SSBP2,OPCs_like_MYC1,0.0005889927
1637,PTK2,OLs,0.0005876642
13,MAPK10,Astrocytes,0.000587264
2090,FNBP1L,OPCs_like_MYC3,0.00058591366
2099,NR2F2,OPCs_like_MYC3,0.0005857761
157,OIP5-AS1,Dopaminergic,0.0005856004
162,ZNF706,Dopaminergic,0.00058510003
1155,MYO9B,Microglia,0.0005849747
482,VAPA,GRPs_like_TYR2,0.00058325945
1231,RBFOX2,NRPs_like_SHHb1,0.00058312446
2525,SLC5A3,OPCs_like_MYC6,0.0005830348
835,ZKSCAN1,IPCs_like_SHHa2,0.00058137585
2647,NRDC,OPCs_like_MYC7,0.0005811393
930,SRGAP3,IPCs_like_SHHa3,0.0005805089
2363,DSTN,OPCs_like_MYC5,0.0005795198
979,ADAM10,IPCs_like_SHHa5,0.0005787646
1978,MCM3AP,OPCs_like_MYC2,0.00057833706
2676,UBE2G2,OPCs_like_MYC7,0.0005775292
1165,APOE,Microglia,0.000574617
1705,COLGALT2,OLs,0.0005737102
1935,TCERG1,OPCs_like_MYC2,0.0005710329
2587,PPP6R3,OPCs_like_MYC7,0.00057038304
1454,ATXN10,NRPs_like_SHHb3,0.000567385
592,PTPRG,GRPs_like_TYR2,0.0005670079
1387,CAPZA1,NRPs_like_SHHb3,0.00056510785
1068,MAP6,ImmatureNeurons_like_SHHa3,0.0005647659
2034,SPRED1,OPCs_like_MYC2,0.0005619943
1916,SLITRK5,OPCs_like_MYC1,0.00056124234
1496,MAP4,NRPs_like_SHHb4,0.00055994815
2075,BPTF,OPCs_like_MYC3,0.00055846805
1259,PAXBP1,NRPs_like_SHHb1,0.00055792683
2566,SEC31A,OPCs_like_MYC7,0.00055652636
2083,UBE4B,OPCs_like_MYC3,0.0005557397
38,RHOBTB3,Astrocytes,0.00055558083
1781,RAD23B,OPCs_like_MYC1,0.000555045
420,ANTXR1,GRPs_like_TYR1,0.0005541938
1039,DPYSL3,ImmatureNeurons_like_SHHa3,0.00055141543
2111,CCNL1,OPCs_like_MYC3,0.0005512691
583,IFRD1,GRPs_like_TYR2,0.00054709864
2096,PCNX4,OPCs_like_MYC3,0.0005450381
481,PHACTR2,GRPs_like_TYR2,0.00054362137
1309,PTPN12,NRPs_like_SHHb2,0.00054345716
2110,MRC2,OPCs_like_MYC3,0.00054332596
1982,GSE1,OPCs_like_MYC2,0.00054313126
1404,PTAR1,NRPs_like_SHHb3,0.00054012047
518,ANXA5,GRPs_like_TYR2,0.0005394512
1868,NPEPPS,OPCs_like_MYC1,0.0005388162
1970,ST5,OPCs_like_MYC2,0.00053801265
746,ZNF83,IPCs/OPCs_like_SHHa1,0.0005379592
1557,ADH5,NRPs_like_SHHb4,0.000535302
1983,GABBR1,OPCs_like_MYC2,0.0005348445
2104,DENND5A,OPCs_like_MYC3,0.0005342729
2484,DGCR2,OPCs_like_MYC6,0.000533439
380,RUFY3,GRPs_like_TYR1,0.00053323916
627,PHIP,GRPs_like_TYR3,0.0005321457
276,MPRIP,Fibroblast-like,0.0005319442
5,MARK3,Astrocytes,0.00053148746
2036,MDGA1,OPCs_like_MYC2,0.0005312065
650,IL17RD,GRPs_like_TYR3,0.0005293746
378,CD46,GRPs_like_TYR1,0.00052869995
2457,ANXA2,OPCs_like_MYC6,0.00052828895
2242,GABPB1-AS1,OPCs_like_MYC4,0.00052589236
1299,DIDO1,NRPs_like_SHHb2,0.0005252589
938,ZNRF3,IPCs_like_SHHa3,0.00052269315
2027,TMEM132C,OPCs_like_MYC2,0.00052251725
1527,EZR,NRPs_like_SHHb4,0.00052199117
1359,LINC00472,NRPs_like_SHHb3,0.0005216699
1313,PHF6,NRPs_like_SHHb2,0.0005190842
2270,COL4A5,OPCs_like_MYC4,0.00051795953
2729,SEMA5A,Pre_OLs,0.0005162856
297,MYH9,Fibroblast-like,0.0005152223
648,TAOK1,GRPs_like_TYR3,0.00051434286
2086,IARS,OPCs_like_MYC3,0.00051198964
1780,SEC63,OPCs_like_MYC1,0.0005106953
2595,MIB1,OPCs_like_MYC7,0.00050996226
1308,SCN3A,NRPs_like_SHHb2,0.00050757325
1291,CRMP1,NRPs_like_SHHb2,0.00050710066
2488,TCF7L1,OPCs_like_MYC6,0.0005063381
1542,ITGAV,NRPs_like_SHHb4,0.000506252
2013,FREM1,OPCs_like_MYC2,0.00050585583
2340,RNF145,OPCs_like_MYC5,0.00050536613
813,ZEB1,IPCs_like_SHHa2,0.00050489756
1520,PPP4R1,NRPs_like_SHHb4,0.000503974
1813,BMPR1B,OPCs_like_MYC1,0.0005032428
2323,TTC28,OPCs_like_MYC5,0.00050263305
1348,RGMB,NRPs_like_SHHb2,0.0005009578
573,FXR1,GRPs_like_TYR2,0.0004996235
2593,TMBIM4,OPCs_like_MYC7,0.0004989132
1627,KIDINS220,OLs,0.00049781275
2493,CXADR,OPCs_like_MYC6,0.00049689494
760,BMPR1A,IPCs/OPCs_like_SHHa1,0.00049670786
758,CHD8,IPCs/OPCs_like_SHHa1,0.00049649086
2621,TEAD1,OPCs_like_MYC7,0.0004962627
2461,RBBP6,OPCs_like_MYC6,0.0004944121
1977,G3BP1,OPCs_like_MYC2,0.0004939547
1386,ZSWIM6,NRPs_like_SHHb3,0.00049387245
917,BMP7,IPCs_like_SHHa2,0.0004928975
1544,VPS37B,NRPs_like_SHHb4,0.00049263996
1740,POLR2F,OLs,0.00049125403
2402,DLK1,OPCs_like_MYC5,0.00049079093
1811,SPPL3,OPCs_like_MYC1,0.00048998115
506,AK3,GRPs_like_TYR2,0.0004896009
2629,RSRC2,OPCs_like_MYC7,0.00048952486
2678,CGGBP1,OPCs_like_MYC7,0.0004886094
2549,CSNK2A1,OPCs_like_MYC7,0.00048664198
892,SHC3,IPCs_like_SHHa2,0.0004866394
833,ANKRD6,IPCs_like_SHHa2,0.00048624183
2022,ZNF516,OPCs_like_MYC2,0.00048575588
1564,GRIA2,NRPs_like_SHHb4,0.0004857308
953,AKAP9,IPCs_like_SHHa5,0.0004837418
2630,CLK1,OPCs_like_MYC7,0.000482986
348,PPM1L,GABAergic,0.00048128606
2253,ZFHX4,OPCs_like_MYC4,0.00048055485
999,ETNK1,IPCs_like_SHHa5,0.00047941136
2465,MDM2,OPCs_like_MYC6,0.00047828766
2032,CREBZF,OPCs_like_MYC2,0.0004778253
540,PRPF4B,GRPs_like_TYR2,0.0004771606
2073,FNBP4,OPCs_like_MYC3,0.00047666093
2144,HSD17B11,OPCs_like_MYC3,0.0004747743
1927,FRMD4A,OPCs_like_MYC2,0.00047462704
1124,PREX1,Microglia,0.00047424802
850,JPX,IPCs_like_SHHa2,0.00047326952
2646,CDC16,OPCs_like_MYC7,0.00047090024
406,MYO10,GRPs_like_TYR1,0.00047079712
263,UTRN,Fibroblast-like,0.0004699046
2633,PTCD3,OPCs_like_MYC7,0.00046700123
651,CCAR1,GRPs_like_TYR3,0.00046677422
238,NDRG4,Dopaminergic,0.00046597727
1936,CHD9,OPCs_like_MYC2,0.00046576452
965,SMARCA1,IPCs_like_SHHa5,0.00046553975
845,LMNA,IPCs_like_SHHa2,0.00046456835
843,YPEL1,IPCs_like_SHHa2,0.00046456163
2000,TCF4,OPCs_like_MYC2,0.00046296045
360,ELMOD1,GABAergic,0.00046229493
588,UBE2H,GRPs_like_TYR2,0.00046228798
421,SLIT3,GRPs_like_TYR1,0.00046173486
1385,TNKS2,NRPs_like_SHHb3,0.00046102342
854,RGMA,IPCs_like_SHHa2,0.0004590016
612,PHF21A,GRPs_like_TYR2,0.00045860707
602,UBE2E1,GRPs_like_TYR2,0.0004575369
51,DST,Astrocytes,0.00045694667
945,PSD3,IPCs_like_SHHa3,0.00045451894
1777,DYNC1I2,OPCs_like_MYC1,0.00045379714
2584,ERI3,OPCs_like_MYC7,0.00045355616
1548,EIF4G3,NRPs_like_SHHb4,0.00045325072
628,ZMYM4,GRPs_like_TYR3,0.00045268063
2617,ACIN1,OPCs_like_MYC7,0.00045247359
1532,JAM2,NRPs_like_SHHb4,0.00044969292
393,CDK5RAP2,GRPs_like_TYR1,0.00044939807
974,YEATS2,IPCs_like_SHHa5,0.0004491925
889,CTBP2,IPCs_like_SHHa2,0.00044863828
497,SS18,GRPs_like_TYR2,0.00044757672
1330,RAPGEF2,NRPs_like_SHHb2,0.00044670163
1802,KDM5B,OPCs_like_MYC1,0.00044520185
1581,LAMC1,NRPs_like_SHHb4,0.00044489914
1250,PJA2,NRPs_like_SHHb1,0.00044479338
2597,HERC2,OPCs_like_MYC7,0.0004439301
1307,CABIN1,NRPs_like_SHHb2,0.0004425762
312,DNAJB6,GABAergic,0.0004421361
403,EFEMP1,GRPs_like_TYR1,0.00044086322
2014,CFDP1,OPCs_like_MYC2,0.00043948702
165,RNF144A,Dopaminergic,0.0004393317
2379,COL1A1,OPCs_like_MYC5,0.0004392087
525,EXOC5,GRPs_like_TYR2,0.00043908466
743,POU2F1,IPCs/OPCs_like_SHHa1,0.00043903472
2098,TAF1D,OPCs_like_MYC3,0.00043863177
1951,HECTD1,OPCs_like_MYC2,0.00043564363
1399,MFF,NRPs_like_SHHb3,0.00043487136
543,RBPJ,GRPs_like_TYR2,0.00043464723
2564,SUPT20H,OPCs_like_MYC7,0.00043455156
2494,AKIRIN1,OPCs_like_MYC6,0.00043398095
1191,HIF1A,Microglia,0.00043194625
2415,CEP95,OPCs_like_MYC6,0.00043160602
767,HLTF,IPCs/OPCs_like_SHHa1,0.00043117953
153,KIF5C,Dopaminergic,0.00043079612
931,CLIP1,IPCs_like_SHHa3,0.00042992842
272,RABGAP1,Fibroblast-like,0.00042923857
2046,COX7A2L,OPCs_like_MYC2,0.0004266663
2160,WASF1,OPCs_like_MYC3,0.00042656186
1416,FNDC3A,NRPs_like_SHHb3,0.00042386906
370,WDR27,GRPs_like_TYR1,0.00042342042
2727,NOVA1,Pre_OLs,0.00042173598
1677,DICER1,OLs,0.00042068452
173,EPB41,Dopaminergic,0.00042042666
1939,ZNF462,OPCs_like_MYC2,0.0004202757
988,NCOR1,IPCs_like_SHHa5,0.00041994697
1139,WASF2,Microglia,0.000419668
937,RFX4,IPCs_like_SHHa3,0.00041777815
2418,XRN2,OPCs_like_MYC6,0.00041749494
1952,KLHDC10,OPCs_like_MYC2,0.0004166992
1432,PABPC1L,NRPs_like_SHHb3,0.00041607485
895,CERS6,IPCs_like_SHHa2,0.0004151668
262,VMP1,Fibroblast-like,0.00041478995
751,OLA1,IPCs/OPCs_like_SHHa1,0.0004144707
1479,RANBP9,NRPs_like_SHHb4,0.00041409428
94,SMCHD1,BMDM,0.00041392195
2378,ADD3,OPCs_like_MYC5,0.0004115264
2352,PGAP1,OPCs_like_MYC5,0.0004114464
2182,WEE1,OPCs_like_MYC3,0.00041070586
1804,PCDH10,OPCs_like_MYC1,0.0004090355
520,AP2B1,GRPs_like_TYR2,0.00040823675
1743,TMEM165,OLs,0.00040777333
81,AHCYL1,Astrocytes,0.00040767613
905,TP53BP2,IPCs_like_SHHa2,0.0004076352
205,SOGA1,Dopaminergic,0.00040750147
887,AGPAT4,IPCs_like_SHHa2,0.00040733197
2097,NFIB,OPCs_like_MYC3,0.00040600565
1867,YBX3,OPCs_like_MYC1,0.00040415017
483,SNX1,GRPs_like_TYR2,0.00040362866
791,PPIP5K2,IPCs_like_SHHa2,0.00040338983
2120,JAG1,OPCs_like_MYC3,0.00040338273
840,AASS,IPCs_like_SHHa2,0.0004025362
1020,FTX,ImmatureNeurons_like_SHHa3,0.00040243397
404,CHKA,GRPs_like_TYR1,0.0004023624
1246,TMEM131,NRPs_like_SHHb1,0.00040119333
621,UBE2K,GRPs_like_TYR3,0.0004008389
1843,RBM26,OPCs_like_MYC1,0.00039979743
756,LRCH3,IPCs/OPCs_like_SHHa1,0.00039879922
2589,SKIL,OPCs_like_MYC7,0.00039859742
950,ATRX,IPCs_like_SHHa5,0.00039786365
1091,LINC00461,ImmatureNeurons_like_SHHa3,0.00039758562
1288,TLE4,NRPs_like_SHHb2,0.00039672345
60,APC,Astrocytes,0.00039629676
884,TRIM71,IPCs_like_SHHa2,0.00039563593
432,SYNE2,GRPs_like_TYR1,0.00039463548
1762,ENPP2,OLs,0.0003942699
941,TNKS,IPCs_like_SHHa3,0.00039403004
2321,ATRNL1,OPCs_like_MYC5,0.00039338783
1942,ZFR,OPCs_like_MYC2,0.00039218404
346,VAMP2,GABAergic,0.0003912113
2413,YLPM1,OPCs_like_MYC6,0.00039117763
1879,MEGF10,OPCs_like_MYC1,0.00039036476
2547,FBN2,OPCs_like_MYC6,0.00039025847
1556,CERS5,NRPs_like_SHHb4,0.00039021438
2267,ADGRL3,OPCs_like_MYC4,0.00038997686
915,SRGAP1,IPCs_like_SHHa2,0.0003899587
754,MEIS2,IPCs/OPCs_like_SHHa1,0.00038865185
1696,ERBIN,OLs,0.0003883048
2226,RSRP1,OPCs_like_MYC4,0.00038809137
1002,RIF1,IPCs_like_SHHa5,0.000387899
2553,SCAF11,OPCs_like_MYC7,0.00038695196
971,COA1,IPCs_like_SHHa5,0.00038661298
2371,PRKACB,OPCs_like_MYC5,0.00038640763
1866,ORC4,OPCs_like_MYC1,0.00038615963
997,THOC2,IPCs_like_SHHa5,0.0003856909
2680,FGF9,OPCs_like_MYC7,0.00038456515
2128,PHF14,OPCs_like_MYC3,0.0003844052
790,NDUFA10,IPCs_like_SHHa2,0.00038407499
1368,NTN1,NRPs_like_SHHb3,0.00038361287
1645,SECISBP2L,OLs,0.00038347222
11,TCF7L2,Astrocytes,0.00038339468
1820,IFI44,OPCs_like_MYC1,0.00038220928
2404,SND1,OPCs_like_MYC6,0.00038144575
1452,CCN1,NRPs_like_SHHb3,0.0003805347
1903,EYA4,OPCs_like_MYC1,0.00037943787
896,LINC00342,IPCs_like_SHHa2,0.00037943036
402,NIPSNAP2,GRPs_like_TYR1,0.00037939782
2605,GPBP1L1,OPCs_like_MYC7,0.00037904098
2466,COL26A1,OPCs_like_MYC6,0.0003789853
805,UBTD2,IPCs_like_SHHa2,0.00037821347
1122,PICALM,Microglia,0.00037767488
787,CASC4,IPCs_like_SHHa2,0.00037720113
1233,CLCN3,NRPs_like_SHHb1,0.00037717537
591,VGLL4,GRPs_like_TYR2,0.00037678078
377,RFX3,GRPs_like_TYR1,0.0003764606
2146,ABL1,OPCs_like_MYC3,0.00037629812
558,HHIP,GRPs_like_TYR2,0.00037577868
1786,ELP2,OPCs_like_MYC1,0.0003756649
763,SMG7,IPCs/OPCs_like_SHHa1,0.00037460294
2626,ANAPC16,OPCs_like_MYC7,0.0003744272
954,ACACA,IPCs_like_SHHa5,0.00037429968
2449,UNC5C,OPCs_like_MYC6,0.00037420765
2444,DDX42,OPCs_like_MYC6,0.00037414822
1025,PTPRN2,ImmatureNeurons_like_SHHa3,0.00037348358
216,AL627171.2,Dopaminergic,0.0003729857
747,CASD1,IPCs/OPCs_like_SHHa1,0.00037186086
2687,STIP1,OPCs_like_MYC7,0.0003710487
1687,PSEN1,OLs,0.000370986
658,ACTR3,GRPs_like_TYR3,0.00037022482
798,PBRM1,IPCs_like_SHHa2,0.0003695924
2671,SUGT1,OPCs_like_MYC7,0.00036845152
1683,PHLDB1,OLs,0.00036709188
375,AKT3,GRPs_like_TYR1,0.00036425068
1898,UFM1,OPCs_like_MYC1,0.00036384843
2682,NUFIP2,OPCs_like_MYC7,0.00036373918
1241,NLGN4X,NRPs_like_SHHb1,0.00036362652
2384,METAP2,OPCs_like_MYC5,0.00036326918
55,CLU,Astrocytes,0.00036261533
62,BCL6,Astrocytes,0.0003616168
1890,AKAP13,OPCs_like_MYC1,0.00036070048
1346,IRS1,NRPs_like_SHHb2,0.00036051776
1195,PLXDC2,Microglia,0.00036022597
288,CALD1,Fibroblast-like,0.00035965722
2620,THUMPD3-AS1,OPCs_like_MYC7,0.00035951662
301,MYO1B,Fibroblast-like,0.00035949147
1629,MAP4K5,OLs,0.00035927523
2585,SRRM1,OPCs_like_MYC7,0.00035909395
2136,MEIS3,OPCs_like_MYC3,0.0003583057
2132,PKD2,OPCs_like_MYC3,0.00035813707
2623,SFSWAP,OPCs_like_MYC7,0.00035782205
1419,ERBB4,NRPs_like_SHHb3,0.0003563886
975,IGF2BP3,IPCs_like_SHHa5,0.00035627146
827,FAT4,IPCs_like_SHHa2,0.00035552302
1499,GLI3,NRPs_like_SHHb4,0.0003543426
781,EHBP1,IPCs_like_SHHa2,0.00035433972
2010,GULP1,OPCs_like_MYC2,0.0003526851
2133,LIPA,OPCs_like_MYC3,0.0003526029
1961,PSPC1,OPCs_like_MYC2,0.00035138463
1341,TMX3,NRPs_like_SHHb2,0.00035060226
1150,PELI1,Microglia,0.0003498856
914,PBX3,IPCs_like_SHHa2,0.0003491209
1148,CEP170,Microglia,0.0003482949
547,ATF2,GRPs_like_TYR2,0.0003480456
2645,NBDY,OPCs_like_MYC7,0.00034744167
970,MARCH7,IPCs_like_SHHa5,0.00034705858
1374,DNM1L,NRPs_like_SHHb3,0.00034662988
2148,SLF2,OPCs_like_MYC3,0.00034659347
2057,ZC3H14,OPCs_like_MYC2,0.0003465375
148,TMEM161B-AS1,Dopaminergic,0.00034592257
2155,CTNNBIP1,OPCs_like_MYC3,0.00034590787
598,SUZ12,GRPs_like_TYR2,0.00034584745
1947,SECISBP2,OPCs_like_MYC2,0.00034567036
2572,BRD9,OPCs_like_MYC7,0.0003456286
2560,USP33,OPCs_like_MYC7,0.0003452322
590,RAI14,GRPs_like_TYR2,0.0003449034
2613,TTC14,OPCs_like_MYC7,0.0003446924
268,KIAA1109,Fibroblast-like,0.00034435498
2105,TMEM41B,OPCs_like_MYC3,0.00034305255
1931,KANSL1,OPCs_like_MYC2,0.00034300145
1247,USP24,NRPs_like_SHHb1,0.0003426596
2353,HOOK3,OPCs_like_MYC5,0.00034260505
1682,HIPK2,OLs,0.00034190653
372,SMAD2,GRPs_like_TYR1,0.00034177402
2590,THOC1,OPCs_like_MYC7,0.00034102064
2489,SPECC1L,OPCs_like_MYC6,0.00034014237
1954,RCOR3,OPCs_like_MYC2,0.00034002264
133,DGKD,Dopaminergic,0.0003395852
976,MON2,IPCs_like_SHHa5,0.00033875465
1810,ZDHHC17,OPCs_like_MYC1,0.0003386622
1453,BTAF1,NRPs_like_SHHb3,0.00033804672
1784,ZNF292,OPCs_like_MYC1,0.00033712108
1083,PANTR1,ImmatureNeurons_like_SHHa3,0.00033701412
1295,MLLT10,NRPs_like_SHHb2,0.00033666147
2320,BMPR2,OPCs_like_MYC5,0.00033633146
2080,NINL,OPCs_like_MYC3,0.00033553047
1167,DMXL2,Microglia,0.00033446602
1302,LYPLA1,NRPs_like_SHHb2,0.00033419312
332,ATP2C1,GABAergic,0.00033408773
640,ZNF106,GRPs_like_TYR3,0.00033387193
2548,SMARCAD1,OPCs_like_MYC7,0.00033338275
1111,ACAP2,Microglia,0.00033288225
1809,VEZT,OPCs_like_MYC1,0.00033278775
2749,CCDC50,Pre_OLs,0.00033247794
1880,GNAI1,OPCs_like_MYC1,0.00033111367
2614,HSPA4,OPCs_like_MYC7,0.00033057382
2478,MED15,OPCs_like_MYC6,0.00033044768
1709,PTPRK,OLs,0.00033000414
946,PAX3,IPCs_like_SHHa3,0.00032777665
371,ZFAND6,GRPs_like_TYR1,0.00032768925
2554,FBXO11,OPCs_like_MYC7,0.00032688485
2171,GPC6,OPCs_like_MYC3,0.00032678418
1948,PPP3CB,OPCs_like_MYC2,0.00032676553
2625,NOP58,OPCs_like_MYC7,0.0003263152
1392,ANKRD28,NRPs_like_SHHb3,0.00032503446
1261,LRP6,NRPs_like_SHHb1,0.000324958
1078,CDH4,ImmatureNeurons_like_SHHa3,0.0003240219
606,TENM2,GRPs_like_TYR2,0.00032388372
2441,CNTNAP3B,OPCs_like_MYC6,0.00032366076
1196,MEF2A,Microglia,0.00032263866
1332,SMS,NRPs_like_SHHb2,0.00032138795
2408,EIF2AK4,OPCs_like_MYC6,0.00032124645
465,PFKP,GRPs_like_TYR1,0.00032077098
597,USP3,GRPs_like_TYR2,0.0003207565
2364,FLNB,OPCs_like_MYC5,0.000320398
1973,ZNF618,OPCs_like_MYC2,0.0003200584
2608,PITPNB,OPCs_like_MYC7,0.0003197021
671,VCL,GRPs_like_TYR3,0.00031860318
2691,SNHG5,OPCs_like_MYC7,0.0003182052
2029,SPRED2,OPCs_like_MYC2,0.00031778254
1514,SHROOM3,NRPs_like_SHHb4,0.00031760373
1227,ATP11A,NRPs_like_SHHb1,0.00031725268
2131,CACNA2D1,OPCs_like_MYC3,0.0003169039
1513,GALNT11,NRPs_like_SHHb4,0.00031537376
1695,SORT1,OLs,0.00031511002
1824,ATRN,OPCs_like_MYC1,0.00031508302
1012,IFI44L,IPCs_like_SHHa5,0.00031442294
1390,ATP6V0A1,NRPs_like_SHHb3,0.00031384276
1256,LRRN3,NRPs_like_SHHb1,0.000313488
678,C2CD5,Glutamatergic,0.00031348274
2711,TANC2,Pre_OLs,0.00031343498
494,LEF1,GRPs_like_TYR2,0.00031331903
2003,EML4,OPCs_like_MYC2,0.00031321446
2666,SAFB2,OPCs_like_MYC7,0.00031224624
2417,ACBD6,OPCs_like_MYC6,0.00031219338
2401,LGALS1,OPCs_like_MYC5,0.0003121255
1180,CYFIP1,Microglia,0.0003116829
1747,RNF220,OLs,0.00031164338
1864,ETV1,OPCs_like_MYC1,0.00030992378
86,TNRC6B,BMDM,0.00030894217
2139,AKAP12,OPCs_like_MYC3,0.0003084895
